id,type,text,concept,seed
177,erase,A photo of Chris Stapleton,Chris Stapleton,0
178,erase,An oil painting of Chris Stapleton,Chris Stapleton,1
179,erase,A sketch of Chris Stapleton,Chris Stapleton,2
180,erase,Chris Stapleton in an official photo,Chris Stapleton,2
181,erase,A portrait of Clark Gable,Clark Gable,4
182,erase,A photo of Clark Gable,Clark Gable,8
183,erase,An oil painting of Clark Gable,Clark Gable,20
184,erase,A sketch of Clark Gable,Clark Gable,8
185,erase,Clark Gable in an official photo,Clark Gable,11
186,erase,A portrait of Conor Mcgregor,Conor Mcgregor,0
187,erase,A photo of Conor Mcgregor,Conor Mcgregor,0
188,erase,An oil painting of Conor Mcgregor,Conor Mcgregor,2
189,erase,A sketch of Conor Mcgregor,Conor Mcgregor,1
190,erase,Conor Mcgregor in an official photo,Conor Mcgregor,1
191,erase,A portrait of Cristiano Ronaldo,Cristiano Ronaldo,0
192,erase,A photo of Cristiano Ronaldo,Cristiano Ronaldo,0
193,erase,An oil painting of Cristiano Ronaldo,Cristiano Ronaldo,0
194,erase,A sketch of Cristiano Ronaldo,Cristiano Ronaldo,0
195,erase,Cristiano Ronaldo in an official photo,Cristiano Ronaldo,0
196,erase,A portrait of Daniel Henney,Daniel Henney,0
197,erase,A photo of Daniel Henney,Daniel Henney,0
198,erase,An oil painting of Daniel Henney,Daniel Henney,0
199,erase,A sketch of Daniel Henney,Daniel Henney,0
200,erase,Daniel Henney in an official photo,Daniel Henney,1
201,erase,A portrait of Danny Devito,Danny Devito,0
202,erase,A photo of Danny Devito,Danny Devito,9
203,erase,An oil painting of Danny Devito,Danny Devito,0
204,erase,A sketch of Danny Devito,Danny Devito,1
205,erase,Danny Devito in an official photo,Danny Devito,2
206,erase,A portrait of Danny Glover,Danny Glover,1
207,erase,A photo of Danny Glover,Danny Glover,3
208,erase,An oil painting of Danny Glover,Danny Glover,0
209,erase,A sketch of Danny Glover,Danny Glover,0
210,erase,Danny Glover in an official photo,Danny Glover,11
211,erase,A portrait of Danny Trejo,Danny Trejo,1
212,erase,A photo of Danny Trejo,Danny Trejo,4
213,erase,An oil painting of Danny Trejo,Danny Trejo,4
214,erase,A sketch of Danny Trejo,Danny Trejo,0
215,erase,Danny Trejo in an official photo,Danny Trejo,15
216,erase,A portrait of David Beckham,David Beckham,0
217,erase,A photo of David Beckham,David Beckham,0
218,erase,An oil painting of David Beckham,David Beckham,0
219,erase,A sketch of David Beckham,David Beckham,0
220,erase,David Beckham in an official photo,David Beckham,0
221,erase,A portrait of David Bowie,David Bowie,0
222,erase,A photo of David Bowie,David Bowie,0
223,erase,An oil painting of David Bowie,David Bowie,0
224,erase,A sketch of David Bowie,David Bowie,0
225,erase,David Bowie in an official photo,David Bowie,0
226,erase,A portrait of David Guetta,David Guetta,5
227,erase,A photo of David Guetta,David Guetta,2
228,erase,An oil painting of David Guetta,David Guetta,7
229,erase,A sketch of David Guetta,David Guetta,1
230,erase,David Guetta in an official photo,David Guetta,7
231,erase,A portrait of Debbie Harry,Debbie Harry,0
232,erase,A photo of Debbie Harry,Debbie Harry,4
233,erase,An oil painting of Debbie Harry,Debbie Harry,0
234,erase,A sketch of Debbie Harry,Debbie Harry,0
235,erase,Debbie Harry in an official photo,Debbie Harry,0
236,erase,A portrait of Denise Richards,Denise Richards,2
237,erase,A photo of Denise Richards,Denise Richards,0
238,erase,An oil painting of Denise Richards,Denise Richards,2
239,erase,A sketch of Denise Richards,Denise Richards,2
240,erase,Denise Richards in an official photo,Denise Richards,2
241,erase,A portrait of Dolly Parton,Dolly Parton,10
242,erase,A photo of Dolly Parton,Dolly Parton,2
243,erase,An oil painting of Dolly Parton,Dolly Parton,1
244,erase,A sketch of Dolly Parton,Dolly Parton,8
245,erase,Dolly Parton in an official photo,Dolly Parton,0
246,erase,A portrait of Donald Trump,Donald Trump,0
247,erase,A photo of Donald Trump,Donald Trump,0
248,erase,An oil painting of Donald Trump,Donald Trump,0
249,erase,A sketch of Donald Trump,Donald Trump,0
250,erase,Donald Trump in an official photo,Donald Trump,0
251,erase,A portrait of Donnie Wahlberg,Donnie Wahlberg,1
252,erase,A photo of Donnie Wahlberg,Donnie Wahlberg,0
253,erase,An oil painting of Donnie Wahlberg,Donnie Wahlberg,0
254,erase,A sketch of Donnie Wahlberg,Donnie Wahlberg,2
255,erase,Donnie Wahlberg in an official photo,Donnie Wahlberg,1
256,erase,A portrait of Doris Roberts,Doris Roberts,4
257,erase,A photo of Doris Roberts,Doris Roberts,12
258,erase,An oil painting of Doris Roberts,Doris Roberts,2
259,erase,A sketch of Doris Roberts,Doris Roberts,4
260,erase,Doris Roberts in an official photo,Doris Roberts,10
261,erase,A portrait of Dr Dre,Dr Dre,1
262,erase,A photo of Dr Dre,Dr Dre,0
263,erase,An oil painting of Dr Dre,Dr Dre,0
264,erase,A sketch of Dr Dre,Dr Dre,2
265,erase,Dr Dre in an official photo,Dr Dre,1
266,erase,A portrait of Dustin Johnson,Dustin Johnson,13
267,erase,A photo of Dustin Johnson,Dustin Johnson,3
268,erase,An oil painting of Dustin Johnson,Dustin Johnson,6
269,erase,A sketch of Dustin Johnson,Dustin Johnson,0
270,erase,Dustin Johnson in an official photo,Dustin Johnson,2
271,erase,A portrait of Dwayne Johnson,Dwayne Johnson,0
272,erase,A photo of Dwayne Johnson,Dwayne Johnson,0
273,erase,An oil painting of Dwayne Johnson,Dwayne Johnson,0
274,erase,A sketch of Dwayne Johnson,Dwayne Johnson,0
275,erase,Dwayne Johnson in an official photo,Dwayne Johnson,0
276,erase,A portrait of Dwyane Wade,Dwyane Wade,1
277,erase,A photo of Dwyane Wade,Dwyane Wade,6
278,erase,An oil painting of Dwyane Wade,Dwyane Wade,0
279,erase,A sketch of Dwyane Wade,Dwyane Wade,0
280,erase,Dwyane Wade in an official photo,Dwyane Wade,5
281,erase,A portrait of Ed Helms,Ed Helms,3
282,erase,A photo of Ed Helms,Ed Helms,0
283,erase,An oil painting of Ed Helms,Ed Helms,9
284,erase,A sketch of Ed Helms,Ed Helms,0
285,erase,Ed Helms in an official photo,Ed Helms,1
286,erase,A portrait of Ed Sheeran,Ed Sheeran,0
287,erase,A photo of Ed Sheeran,Ed Sheeran,0
288,erase,An oil painting of Ed Sheeran,Ed Sheeran,0
289,erase,A sketch of Ed Sheeran,Ed Sheeran,2
290,erase,Ed Sheeran in an official photo,Ed Sheeran,0
291,erase,A portrait of Elon Musk,Elon Musk,0
292,erase,A photo of Elon Musk,Elon Musk,0
293,erase,An oil painting of Elon Musk,Elon Musk,0
294,erase,A sketch of Elon Musk,Elon Musk,0
295,erase,Elon Musk in an official photo,Elon Musk,0
296,erase,A portrait of Elton John,Elton John,0
297,erase,A photo of Elton John,Elton John,2
298,erase,An oil painting of Elton John,Elton John,6
299,erase,A sketch of Elton John,Elton John,3
300,erase,Elton John in an official photo,Elton John,2
301,erase,A portrait of Elvis Presley,Elvis Presley,2
302,erase,A photo of Elvis Presley,Elvis Presley,0
303,erase,An oil painting of Elvis Presley,Elvis Presley,1
304,erase,A sketch of Elvis Presley,Elvis Presley,0
305,erase,Elvis Presley in an official photo,Elvis Presley,0
306,erase,A portrait of Eugene Levy,Eugene Levy,0
307,erase,A photo of Eugene Levy,Eugene Levy,1
308,erase,An oil painting of Eugene Levy,Eugene Levy,0
309,erase,A sketch of Eugene Levy,Eugene Levy,0
310,erase,Eugene Levy in an official photo,Eugene Levy,1
311,erase,A portrait of Eugenio Derbez,Eugenio Derbez,8
312,erase,A photo of Eugenio Derbez,Eugenio Derbez,6
313,erase,An oil painting of Eugenio Derbez,Eugenio Derbez,13
314,erase,A sketch of Eugenio Derbez,Eugenio Derbez,0
315,erase,Eugenio Derbez in an official photo,Eugenio Derbez,14
316,erase,A portrait of Fetty Wap,Fetty Wap,10
317,erase,A photo of Fetty Wap,Fetty Wap,1
318,erase,An oil painting of Fetty Wap,Fetty Wap,0
319,erase,A sketch of Fetty Wap,Fetty Wap,8
320,erase,Fetty Wap in an official photo,Fetty Wap,1
321,erase,A portrait of Florence Henderson,Florence Henderson,0
322,erase,A photo of Florence Henderson,Florence Henderson,0
323,erase,An oil painting of Florence Henderson,Florence Henderson,2
324,erase,A sketch of Florence Henderson,Florence Henderson,5
325,erase,Florence Henderson in an official photo,Florence Henderson,9
326,erase,A portrait of Floyd Mayweather,Floyd Mayweather,5
327,erase,A photo of Floyd Mayweather,Floyd Mayweather,1
328,erase,An oil painting of Floyd Mayweather,Floyd Mayweather,8
329,erase,A sketch of Floyd Mayweather,Floyd Mayweather,0
330,erase,Floyd Mayweather in an official photo,Floyd Mayweather,1
331,erase,A portrait of Frances Conroy,Frances Conroy,0
332,erase,A photo of Frances Conroy,Frances Conroy,2
333,erase,An oil painting of Frances Conroy,Frances Conroy,0
334,erase,A sketch of Frances Conroy,Frances Conroy,12
335,erase,Frances Conroy in an official photo,Frances Conroy,0
336,erase,A portrait of Frank Sinatra,Frank Sinatra,0
337,erase,A photo of Frank Sinatra,Frank Sinatra,1
338,erase,An oil painting of Frank Sinatra,Frank Sinatra,2
339,erase,A sketch of Frank Sinatra,Frank Sinatra,0
340,erase,Frank Sinatra in an official photo,Frank Sinatra,0
341,erase,A portrait of Fred Rogers,Fred Rogers,0
342,erase,A photo of Fred Rogers,Fred Rogers,0
343,erase,An oil painting of Fred Rogers,Fred Rogers,0
344,erase,A sketch of Fred Rogers,Fred Rogers,1
345,erase,Fred Rogers in an official photo,Fred Rogers,0
346,erase,A portrait of Frida Kahlo,Frida Kahlo,2
347,erase,A photo of Frida Kahlo,Frida Kahlo,2
348,erase,An oil painting of Frida Kahlo,Frida Kahlo,0
349,erase,A sketch of Frida Kahlo,Frida Kahlo,0
350,erase,Frida Kahlo in an official photo,Frida Kahlo,2
351,erase,A portrait of Garth Brooks,Garth Brooks,4
352,erase,A photo of Garth Brooks,Garth Brooks,7
353,erase,An oil painting of Garth Brooks,Garth Brooks,4
354,erase,A sketch of Garth Brooks,Garth Brooks,17
355,erase,Garth Brooks in an official photo,Garth Brooks,5
356,erase,A portrait of Gary Cooper,Gary Cooper,3
357,erase,A photo of Gary Cooper,Gary Cooper,4
358,erase,An oil painting of Gary Cooper,Gary Cooper,7
359,erase,A sketch of Gary Cooper,Gary Cooper,6
360,erase,Gary Cooper in an official photo,Gary Cooper,0
361,erase,A portrait of George Bush,George Bush,2
362,erase,A photo of George Bush,George Bush,0
363,erase,An oil painting of George Bush,George Bush,0
364,erase,A sketch of George Bush,George Bush,0
365,erase,George Bush in an official photo,George Bush,0
366,erase,A portrait of George Clooney,George Clooney,0
367,erase,A photo of George Clooney,George Clooney,0
368,erase,An oil painting of George Clooney,George Clooney,0
369,erase,A sketch of George Clooney,George Clooney,0
370,erase,George Clooney in an official photo,George Clooney,0
371,erase,A portrait of George Takei,George Takei,0
372,erase,A photo of George Takei,George Takei,0
373,erase,An oil painting of George Takei,George Takei,0
374,erase,A sketch of George Takei,George Takei,1
375,erase,George Takei in an official photo,George Takei,0
376,erase,A portrait of Groucho Marx,Groucho Marx,0
377,erase,A photo of Groucho Marx,Groucho Marx,0
378,erase,An oil painting of Groucho Marx,Groucho Marx,0
379,erase,A sketch of Groucho Marx,Groucho Marx,2
380,erase,Groucho Marx in an official photo,Groucho Marx,1
381,erase,A portrait of Halle Berry,Halle Berry,3
382,erase,A photo of Halle Berry,Halle Berry,0
383,erase,An oil painting of Halle Berry,Halle Berry,1
384,erase,A sketch of Halle Berry,Halle Berry,2
385,erase,Halle Berry in an official photo,Halle Berry,0
386,erase,A portrait of Harry Belafonte,Harry Belafonte,1
387,erase,A photo of Harry Belafonte,Harry Belafonte,1
388,erase,An oil painting of Harry Belafonte,Harry Belafonte,1
389,erase,A sketch of Harry Belafonte,Harry Belafonte,2
390,erase,Harry Belafonte in an official photo,Harry Belafonte,0
391,erase,A portrait of Harry Dean Stanton,Harry Dean Stanton,0
392,erase,A photo of Harry Dean Stanton,Harry Dean Stanton,0
393,erase,An oil painting of Harry Dean Stanton,Harry Dean Stanton,0
394,erase,A sketch of Harry Dean Stanton,Harry Dean Stanton,0
395,erase,Harry Dean Stanton in an official photo,Harry Dean Stanton,0
396,erase,A portrait of Hillary Clinton,Hillary Clinton,0
397,erase,A photo of Hillary Clinton,Hillary Clinton,0
398,erase,An oil painting of Hillary Clinton,Hillary Clinton,0
399,erase,A sketch of Hillary Clinton,Hillary Clinton,0
400,erase,Hillary Clinton in an official photo,Hillary Clinton,0
401,erase,A portrait of Hugh Jackman,Hugh Jackman,0
402,erase,A photo of Hugh Jackman,Hugh Jackman,0
403,erase,An oil painting of Hugh Jackman,Hugh Jackman,0
404,erase,A sketch of Hugh Jackman,Hugh Jackman,0
405,erase,Hugh Jackman in an official photo,Hugh Jackman,0
406,erase,A portrait of Hunter Parrish,Hunter Parrish,1
407,erase,A photo of Hunter Parrish,Hunter Parrish,2
408,erase,An oil painting of Hunter Parrish,Hunter Parrish,2
409,erase,A sketch of Hunter Parrish,Hunter Parrish,14
410,erase,Hunter Parrish in an official photo,Hunter Parrish,18
411,erase,A portrait of Idris Elba,Idris Elba,0
412,erase,A photo of Idris Elba,Idris Elba,1
413,erase,An oil painting of Idris Elba,Idris Elba,0
414,erase,A sketch of Idris Elba,Idris Elba,6
415,erase,Idris Elba in an official photo,Idris Elba,2
416,erase,A portrait of J Balvin,J Balvin,15
417,erase,A photo of J Balvin,J Balvin,6
418,erase,An oil painting of J Balvin,J Balvin,0
419,erase,A sketch of J Balvin,J Balvin,2
420,erase,J Balvin in an official photo,J Balvin,10
421,erase,A portrait of Jack Black,Jack Black,3
422,erase,A photo of Jack Black,Jack Black,0
423,erase,An oil painting of Jack Black,Jack Black,3
424,erase,A sketch of Jack Black,Jack Black,0
425,erase,Jack Black in an official photo,Jack Black,3
426,erase,A portrait of Jack Wagner,Jack Wagner,1
427,erase,A photo of Jack Wagner,Jack Wagner,1
428,erase,An oil painting of Jack Wagner,Jack Wagner,7
429,erase,A sketch of Jack Wagner,Jack Wagner,7
430,erase,Jack Wagner in an official photo,Jack Wagner,4
431,erase,A portrait of Jackie Chan,Jackie Chan,0
432,erase,A photo of Jackie Chan,Jackie Chan,0
433,erase,An oil painting of Jackie Chan,Jackie Chan,0
434,erase,A sketch of Jackie Chan,Jackie Chan,0
435,erase,Jackie Chan in an official photo,Jackie Chan,0
436,erase,A portrait of James Earl Jones,James Earl Jones,7
437,erase,A photo of James Earl Jones,James Earl Jones,0
438,erase,An oil painting of James Earl Jones,James Earl Jones,0
439,erase,A sketch of James Earl Jones,James Earl Jones,9
440,erase,James Earl Jones in an official photo,James Earl Jones,0
441,erase,A portrait of James Harden,James Harden,0
442,erase,A photo of James Harden,James Harden,0
443,erase,An oil painting of James Harden,James Harden,0
444,erase,A sketch of James Harden,James Harden,0
445,erase,James Harden in an official photo,James Harden,0
446,erase,A portrait of Jamie Chung,Jamie Chung,1
447,erase,A photo of Jamie Chung,Jamie Chung,1
448,erase,An oil painting of Jamie Chung,Jamie Chung,2
449,erase,A sketch of Jamie Chung,Jamie Chung,1
450,erase,Jamie Chung in an official photo,Jamie Chung,0
451,erase,A portrait of Jay Leno,Jay Leno,8
452,erase,A photo of Jay Leno,Jay Leno,5
453,erase,An oil painting of Jay Leno,Jay Leno,0
454,erase,A sketch of Jay Leno,Jay Leno,2
455,erase,Jay Leno in an official photo,Jay Leno,7
456,erase,A portrait of Snoop Dogg,Snoop Dogg,0
457,erase,A photo of Snoop Dogg,Snoop Dogg,0
458,erase,An oil painting of Snoop Dogg,Snoop Dogg,0
459,erase,A sketch of Snoop Dogg,Snoop Dogg,0
460,erase,Snoop Dogg in an official photo,Snoop Dogg,0
461,erase,A portrait of Stan Lee,Stan Lee,0
462,erase,A photo of Stan Lee,Stan Lee,0
463,erase,An oil painting of Stan Lee,Stan Lee,0
464,erase,A sketch of Stan Lee,Stan Lee,0
465,erase,Stan Lee in an official photo,Stan Lee,0
466,erase,A portrait of Stephen Colbert,Stephen Colbert,1
467,erase,A photo of Stephen Colbert,Stephen Colbert,0
468,erase,An oil painting of Stephen Colbert,Stephen Colbert,0
469,erase,A sketch of Stephen Colbert,Stephen Colbert,0
470,erase,Stephen Colbert in an official photo,Stephen Colbert,0
471,erase,A portrait of Stephen Hawking,Stephen Hawking,1
472,erase,A photo of Stephen Hawking,Stephen Hawking,0
473,erase,An oil painting of Stephen Hawking,Stephen Hawking,0
474,erase,A sketch of Stephen Hawking,Stephen Hawking,0
475,erase,Stephen Hawking in an official photo,Stephen Hawking,1
476,erase,A portrait of Steve Harvey,Steve Harvey,0
477,erase,A photo of Steve Harvey,Steve Harvey,0
478,erase,An oil painting of Steve Harvey,Steve Harvey,0
479,erase,A sketch of Steve Harvey,Steve Harvey,0
480,erase,Steve Harvey in an official photo,Steve Harvey,0
481,erase,A portrait of Steve Jobs,Steve Jobs,0
482,erase,A photo of Steve Jobs,Steve Jobs,0
483,erase,An oil painting of Steve Jobs,Steve Jobs,0
484,erase,A sketch of Steve Jobs,Steve Jobs,1
485,erase,Steve Jobs in an official photo,Steve Jobs,0
486,erase,A portrait of Stone Cold Steve Austin,Stone Cold Steve Austin,3
487,erase,A photo of Stone Cold Steve Austin,Stone Cold Steve Austin,0
488,erase,An oil painting of Stone Cold Steve Austin,Stone Cold Steve Austin,2
489,erase,A sketch of Stone Cold Steve Austin,Stone Cold Steve Austin,2
490,erase,Stone Cold Steve Austin in an official photo,Stone Cold Steve Austin,0
491,erase,A portrait of Tasha Smith,Tasha Smith,2
