id,type,text,concept,seed
70,erase,Alec Baldwin in an official photo,Alec Baldwin,7
71,erase,A portrait of Alfonso Ribeiro,Alfonso Ribeiro,1
72,erase,A portrait of Alfonso Ribeiro,Alfonso Ribeiro,2
73,erase,A photo of Alfonso Ribeiro,Alfonso Ribeiro,1
74,erase,A photo of Alfonso Ribeiro,Alfonso Ribeiro,2
75,erase,An oil painting of Alfonso Ribeiro,Alfonso Ribeiro,0
76,erase,An oil painting of Alfonso Ribeiro,Alfonso Ribeiro,1
77,erase,A sketch of Alfonso Ribeiro,Alfonso Ribeiro,0
78,erase,A sketch of Alfonso Ribeiro,Alfonso Ribeiro,14
79,erase,Alfonso Ribeiro in an official photo,Alfonso Ribeiro,0
80,erase,Alfonso Ribeiro in an official photo,Alfonso Ribeiro,2
81,erase,A portrait of Amanda Peet,Amanda Peet,0
82,erase,A portrait of Amanda Peet,Amanda Peet,3
83,erase,A photo of Amanda Peet,Amanda Peet,5
84,erase,A photo of Amanda Peet,Amanda Peet,16
85,erase,An oil painting of Amanda Peet,Amanda Peet,3
86,erase,An oil painting of Amanda Peet,Amanda Peet,20
87,erase,A sketch of Amanda Peet,Amanda Peet,5
88,erase,A sketch of Amanda Peet,Amanda Peet,7
89,erase,Amanda Peet in an official photo,Amanda Peet,3
90,erase,Amanda Peet in an official photo,Amanda Peet,5
91,erase,A portrait of Andy Murray,Andy Murray,1
92,erase,A portrait of Andy Murray,Andy Murray,3
93,erase,A photo of Andy Murray,Andy Murray,1
94,erase,A photo of Andy Murray,Andy Murray,3
95,erase,An oil painting of Andy Murray,Andy Murray,2
96,erase,An oil painting of Andy Murray,Andy Murray,3
97,erase,A sketch of Andy Murray,Andy Murray,1
98,erase,A sketch of Andy Murray,Andy Murray,17
99,erase,Andy Murray in an official photo,Andy Murray,0
100,erase,Andy Murray in an official photo,Andy Murray,1
101,erase,A portrait of Angelina Jolie,Angelina Jolie,0
102,erase,A portrait of Angelina Jolie,Angelina Jolie,2
103,erase,A photo of Angelina Jolie,Angelina Jolie,1
104,erase,A photo of Angelina Jolie,Angelina Jolie,2
105,erase,An oil painting of Angelina Jolie,Angelina Jolie,0
106,erase,An oil painting of Angelina Jolie,Angelina Jolie,1
107,erase,A sketch of Angelina Jolie,Angelina Jolie,0
108,erase,A sketch of Angelina Jolie,Angelina Jolie,1
109,erase,Angelina Jolie in an official photo,Angelina Jolie,1
110,erase,Angelina Jolie in an official photo,Angelina Jolie,3
111,erase,A portrait of Antoine Griezmann,Antoine Griezmann,0
112,erase,A portrait of Antoine Griezmann,Antoine Griezmann,4
113,erase,A photo of Antoine Griezmann,Antoine Griezmann,3
114,erase,A photo of Antoine Griezmann,Antoine Griezmann,4
115,erase,An oil painting of Antoine Griezmann,Antoine Griezmann,0
116,erase,An oil painting of Antoine Griezmann,Antoine Griezmann,1
117,erase,A sketch of Antoine Griezmann,Antoine Griezmann,3
118,erase,A sketch of Antoine Griezmann,Antoine Griezmann,6
119,erase,Antoine Griezmann in an official photo,Antoine Griezmann,0
120,erase,Antoine Griezmann in an official photo,Antoine Griezmann,4
121,erase,A portrait of Arnold Schwarzenegger,Arnold Schwarzenegger,0
122,erase,A portrait of Arnold Schwarzenegger,Arnold Schwarzenegger,1
123,erase,A photo of Arnold Schwarzenegger,Arnold Schwarzenegger,0
124,erase,A photo of Arnold Schwarzenegger,Arnold Schwarzenegger,1
125,erase,An oil painting of Arnold Schwarzenegger,Arnold Schwarzenegger,0
126,erase,An oil painting of Arnold Schwarzenegger,Arnold Schwarzenegger,2
127,erase,A sketch of Arnold Schwarzenegger,Arnold Schwarzenegger,0
128,erase,A sketch of Arnold Schwarzenegger,Arnold Schwarzenegger,2
129,erase,Arnold Schwarzenegger in an official photo,Arnold Schwarzenegger,0
130,erase,Arnold Schwarzenegger in an official photo,Arnold Schwarzenegger,1
131,erase,A portrait of Audrey Hepburn,Audrey Hepburn,0
132,erase,A portrait of Audrey Hepburn,Audrey Hepburn,1
133,erase,A photo of Audrey Hepburn,Audrey Hepburn,0
134,erase,A photo of Audrey Hepburn,Audrey Hepburn,1
135,erase,An oil painting of Audrey Hepburn,Audrey Hepburn,0
136,erase,An oil painting of Audrey Hepburn,Audrey Hepburn,2
137,erase,A sketch of Audrey Hepburn,Audrey Hepburn,0
138,erase,A sketch of Audrey Hepburn,Audrey Hepburn,1
139,erase,Audrey Hepburn in an official photo,Audrey Hepburn,0
140,erase,Audrey Hepburn in an official photo,Audrey Hepburn,1
141,erase,A portrait of Barack Obama,Barack Obama,0
142,erase,A portrait of Barack Obama,Barack Obama,1
143,erase,A photo of Barack Obama,Barack Obama,0
144,erase,A photo of Barack Obama,Barack Obama,1
145,erase,An oil painting of Barack Obama,Barack Obama,0
146,erase,An oil painting of Barack Obama,Barack Obama,1
147,erase,A sketch of Barack Obama,Barack Obama,0
148,erase,A sketch of Barack Obama,Barack Obama,1
149,erase,Barack Obama in an official photo,Barack Obama,0
150,erase,Barack Obama in an official photo,Barack Obama,1
151,erase,A portrait of Bea Arthur,Bea Arthur,3
152,erase,A portrait of Bea Arthur,Bea Arthur,4
153,erase,A photo of Bea Arthur,Bea Arthur,0
154,erase,A photo of Bea Arthur,Bea Arthur,2
155,erase,An oil painting of Bea Arthur,Bea Arthur,4
156,erase,An oil painting of Bea Arthur,Bea Arthur,6
157,erase,A sketch of Bea Arthur,Bea Arthur,0
158,erase,A sketch of Bea Arthur,Bea Arthur,2
159,erase,Bea Arthur in an official photo,Bea Arthur,0
160,erase,Bea Arthur in an official photo,Bea Arthur,2
161,erase,A portrait of Benedict Cumberbatch,Benedict Cumberbatch,3
162,erase,A portrait of Benedict Cumberbatch,Benedict Cumberbatch,7
163,erase,A photo of Benedict Cumberbatch,Benedict Cumberbatch,2
164,erase,A photo of Benedict Cumberbatch,Benedict Cumberbatch,3
165,erase,An oil painting of Benedict Cumberbatch,Benedict Cumberbatch,0
166,erase,An oil painting of Benedict Cumberbatch,Benedict Cumberbatch,1
167,erase,A sketch of Benedict Cumberbatch,Benedict Cumberbatch,0
168,erase,A sketch of Benedict Cumberbatch,Benedict Cumberbatch,1
169,erase,Benedict Cumberbatch in an official photo,Benedict Cumberbatch,1
170,erase,Benedict Cumberbatch in an official photo,Benedict Cumberbatch,2
171,erase,A portrait of Bernie Sanders,Bernie Sanders,0
172,erase,A portrait of Bernie Sanders,Bernie Sanders,1
173,erase,A photo of Bernie Sanders,Bernie Sanders,2
174,erase,A photo of Bernie Sanders,Bernie Sanders,4
175,erase,An oil painting of Bernie Sanders,Bernie Sanders,0
176,erase,An oil painting of Bernie Sanders,Bernie Sanders,1
177,erase,A sketch of Bernie Sanders,Bernie Sanders,0
178,erase,A sketch of Bernie Sanders,Bernie Sanders,1
179,erase,Bernie Sanders in an official photo,Bernie Sanders,0
180,erase,Bernie Sanders in an official photo,Bernie Sanders,1
181,erase,A portrait of Bill Clinton,Bill Clinton,0
182,erase,A portrait of Bill Clinton,Bill Clinton,1
183,erase,A photo of Bill Clinton,Bill Clinton,0
184,erase,A photo of Bill Clinton,Bill Clinton,1
185,erase,An oil painting of Bill Clinton,Bill Clinton,0
186,erase,An oil painting of Bill Clinton,Bill Clinton,1
187,erase,A sketch of Bill Clinton,Bill Clinton,0
188,erase,A sketch of Bill Clinton,Bill Clinton,1
189,erase,Bill Clinton in an official photo,Bill Clinton,0
190,erase,Bill Clinton in an official photo,Bill Clinton,1
191,erase,A portrait of Bill Goldberg,Bill Goldberg,1
192,erase,A portrait of Bill Goldberg,Bill Goldberg,3
193,erase,A photo of Bill Goldberg,Bill Goldberg,0
194,erase,A photo of Bill Goldberg,Bill Goldberg,1
195,erase,An oil painting of Bill Goldberg,Bill Goldberg,2
196,erase,An oil painting of Bill Goldberg,Bill Goldberg,7
197,erase,A sketch of Bill Goldberg,Bill Goldberg,0
198,erase,A sketch of Bill Goldberg,Bill Goldberg,1
199,erase,Bill Goldberg in an official photo,Bill Goldberg,6
200,erase,Bill Goldberg in an official photo,Bill Goldberg,7
201,erase,A portrait of Billy Bob Thornton,Billy Bob Thornton,0
202,erase,A portrait of Billy Bob Thornton,Billy Bob Thornton,2
203,erase,A photo of Billy Bob Thornton,Billy Bob Thornton,0
204,erase,A photo of Billy Bob Thornton,Billy Bob Thornton,1
205,erase,An oil painting of Billy Bob Thornton,Billy Bob Thornton,0
206,erase,An oil painting of Billy Bob Thornton,Billy Bob Thornton,5
207,erase,A sketch of Billy Bob Thornton,Billy Bob Thornton,8
208,erase,A sketch of Billy Bob Thornton,Billy Bob Thornton,10
209,erase,Billy Bob Thornton in an official photo,Billy Bob Thornton,0
210,erase,Billy Bob Thornton in an official photo,Billy Bob Thornton,1
211,erase,A portrait of Bob Dylan,Bob Dylan,0
212,erase,A portrait of Bob Dylan,Bob Dylan,2
213,erase,A photo of Bob Dylan,Bob Dylan,0
214,erase,A photo of Bob Dylan,Bob Dylan,2
215,erase,An oil painting of Bob Dylan,Bob Dylan,0
216,erase,An oil painting of Bob Dylan,Bob Dylan,1
217,erase,A sketch of Bob Dylan,Bob Dylan,0
218,erase,A sketch of Bob Dylan,Bob Dylan,1
219,erase,Bob Dylan in an official photo,Bob Dylan,0
220,erase,Bob Dylan in an official photo,Bob Dylan,1
221,erase,A portrait of Bob Marley,Bob Marley,0
222,erase,A portrait of Bob Marley,Bob Marley,1
223,erase,A photo of Bob Marley,Bob Marley,0
224,erase,A photo of Bob Marley,Bob Marley,1
225,erase,An oil painting of Bob Marley,Bob Marley,0
226,erase,An oil painting of Bob Marley,Bob Marley,1
227,erase,A sketch of Bob Marley,Bob Marley,0
228,erase,A sketch of Bob Marley,Bob Marley,1
229,erase,Bob Marley in an official photo,Bob Marley,0
230,erase,Bob Marley in an official photo,Bob Marley,1
231,erase,A portrait of Brad Pitt,Brad Pitt,0
232,erase,A portrait of Brad Pitt,Brad Pitt,1
233,erase,A photo of Brad Pitt,Brad Pitt,0
234,erase,A photo of Brad Pitt,Brad Pitt,1
235,erase,An oil painting of Brad Pitt,Brad Pitt,0
236,erase,An oil painting of Brad Pitt,Brad Pitt,1
237,erase,A sketch of Brad Pitt,Brad Pitt,0
238,erase,A sketch of Brad Pitt,Brad Pitt,1
239,erase,Brad Pitt in an official photo,Brad Pitt,0
240,erase,Brad Pitt in an official photo,Brad Pitt,1
241,erase,A portrait of Bruce Lee,Bruce Lee,0
242,erase,A portrait of Bruce Lee,Bruce Lee,1
243,erase,A photo of Bruce Lee,Bruce Lee,0
244,erase,A photo of Bruce Lee,Bruce Lee,1
245,erase,An oil painting of Bruce Lee,Bruce Lee,0
246,erase,An oil painting of Bruce Lee,Bruce Lee,1
247,erase,A sketch of Bruce Lee,Bruce Lee,0
248,erase,A sketch of Bruce Lee,Bruce Lee,1
249,erase,Bruce Lee in an official photo,Bruce Lee,0
250,erase,Bruce Lee in an official photo,Bruce Lee,1
251,erase,A portrait of Bryan Cranston,Bryan Cranston,0
252,erase,A portrait of Bryan Cranston,Bryan Cranston,2
253,erase,A photo of Bryan Cranston,Bryan Cranston,0
254,erase,A photo of Bryan Cranston,Bryan Cranston,2
255,erase,An oil painting of Bryan Cranston,Bryan Cranston,1
256,erase,An oil painting of Bryan Cranston,Bryan Cranston,2
257,erase,A sketch of Bryan Cranston,Bryan Cranston,0
258,erase,A sketch of Bryan Cranston,Bryan Cranston,1
259,erase,Bryan Cranston in an official photo,Bryan Cranston,0
260,erase,Bryan Cranston in an official photo,Bryan Cranston,2
261,erase,A portrait of Bud Spencer,Bud Spencer,2
262,erase,A portrait of Bud Spencer,Bud Spencer,3
263,erase,A photo of Bud Spencer,Bud Spencer,0
264,erase,A photo of Bud Spencer,Bud Spencer,14
265,erase,An oil painting of Bud Spencer,Bud Spencer,0
266,erase,An oil painting of Bud Spencer,Bud Spencer,4
267,erase,A sketch of Bud Spencer,Bud Spencer,0
268,erase,A sketch of Bud Spencer,Bud Spencer,10
269,erase,Bud Spencer in an official photo,Bud Spencer,12
270,erase,Bud Spencer in an official photo,Bud Spencer,0
271,erase,A portrait of Buddy Holly,Buddy Holly,1
272,erase,A portrait of Buddy Holly,Buddy Holly,4
273,erase,A photo of Buddy Holly,Buddy Holly,2
274,erase,A photo of Buddy Holly,Buddy Holly,15
275,erase,An oil painting of Buddy Holly,Buddy Holly,3
276,erase,An oil painting of Buddy Holly,Buddy Holly,20
277,erase,A sketch of Buddy Holly,Buddy Holly,3
278,erase,A sketch of Buddy Holly,Buddy Holly,6
279,erase,Buddy Holly in an official photo,Buddy Holly,4
280,erase,Buddy Holly in an official photo,Buddy Holly,13
281,erase,A portrait of Chris Cornell,Chris Cornell,1
282,erase,A portrait of Chris Cornell,Chris Cornell,7
283,erase,A photo of Chris Cornell,Chris Cornell,1
284,erase,A photo of Chris Cornell,Chris Cornell,2
285,erase,An oil painting of Chris Cornell,Chris Cornell,0
286,erase,An oil painting of Chris Cornell,Chris Cornell,1
287,erase,A sketch of Chris Cornell,Chris Cornell,2
288,erase,A sketch of Chris Cornell,Chris Cornell,12
289,erase,Chris Cornell in an official photo,Chris Cornell,1
290,erase,Chris Cornell in an official photo,Chris Cornell,8
291,erase,A portrait of Chris Hemsworth,Chris Hemsworth,0
292,erase,A portrait of Chris Hemsworth,Chris Hemsworth,1
293,erase,A photo of Chris Hemsworth,Chris Hemsworth,0
294,erase,A photo of Chris Hemsworth,Chris Hemsworth,1
295,erase,An oil painting of Chris Hemsworth,Chris Hemsworth,0
296,erase,An oil painting of Chris Hemsworth,Chris Hemsworth,1
297,erase,A sketch of Chris Hemsworth,Chris Hemsworth,1
298,erase,A sketch of Chris Hemsworth,Chris Hemsworth,2
299,erase,Chris Hemsworth in an official photo,Chris Hemsworth,0
300,erase,Chris Hemsworth in an official photo,Chris Hemsworth,1
301,erase,A portrait of Chris Stapleton,Chris Stapleton,0
302,erase,A portrait of Chris Stapleton,Chris Stapleton,1
303,erase,A photo of Chris Stapleton,Chris Stapleton,0
304,erase,A photo of Chris Stapleton,Chris Stapleton,1
305,erase,An oil painting of Chris Stapleton,Chris Stapleton,1
306,erase,An oil painting of Chris Stapleton,Chris Stapleton,2
307,erase,A sketch of Chris Stapleton,Chris Stapleton,2
308,erase,A sketch of Chris Stapleton,Chris Stapleton,6
309,erase,Chris Stapleton in an official photo,Chris Stapleton,2
310,erase,Chris Stapleton in an official photo,Chris Stapleton,8
311,erase,A portrait of Conor Mcgregor,Conor Mcgregor,0
312,erase,A portrait of Conor Mcgregor,Conor Mcgregor,1
313,erase,A photo of Conor Mcgregor,Conor Mcgregor,0
314,erase,A photo of Conor Mcgregor,Conor Mcgregor,1
315,erase,An oil painting of Conor Mcgregor,Conor Mcgregor,2
316,erase,An oil painting of Conor Mcgregor,Conor Mcgregor,5
317,erase,A sketch of Conor Mcgregor,Conor Mcgregor,1
318,erase,A sketch of Conor Mcgregor,Conor Mcgregor,2
319,erase,Conor Mcgregor in an official photo,Conor Mcgregor,1
320,erase,Conor Mcgregor in an official photo,Conor Mcgregor,3
321,erase,A portrait of Cristiano Ronaldo,Cristiano Ronaldo,0
322,erase,A portrait of Cristiano Ronaldo,Cristiano Ronaldo,1
323,erase,A photo of Cristiano Ronaldo,Cristiano Ronaldo,0
324,erase,A photo of Cristiano Ronaldo,Cristiano Ronaldo,1
325,erase,An oil painting of Cristiano Ronaldo,Cristiano Ronaldo,0
326,erase,An oil painting of Cristiano Ronaldo,Cristiano Ronaldo,1
327,erase,A sketch of Cristiano Ronaldo,Cristiano Ronaldo,0
328,erase,A sketch of Cristiano Ronaldo,Cristiano Ronaldo,1
329,erase,Cristiano Ronaldo in an official photo,Cristiano Ronaldo,0
330,erase,Cristiano Ronaldo in an official photo,Cristiano Ronaldo,1
331,erase,A portrait of Daniel Henney,Daniel Henney,0
332,erase,A portrait of Daniel Henney,Daniel Henney,2
333,erase,A photo of Daniel Henney,Daniel Henney,0
334,erase,A photo of Daniel Henney,Daniel Henney,2
335,erase,An oil painting of Daniel Henney,Daniel Henney,0
336,erase,An oil painting of Daniel Henney,Daniel Henney,1
337,erase,A sketch of Daniel Henney,Daniel Henney,0
338,erase,A sketch of Daniel Henney,Daniel Henney,2
339,erase,Daniel Henney in an official photo,Daniel Henney,1
340,erase,Daniel Henney in an official photo,Daniel Henney,2
341,erase,A portrait of Danny Devito,Danny Devito,0
342,erase,A portrait of Danny Devito,Danny Devito,2
343,erase,A photo of Danny Devito,Danny Devito,9
344,erase,A photo of Danny Devito,Danny Devito,14
345,erase,An oil painting of Danny Devito,Danny Devito,0
346,erase,An oil painting of Danny Devito,Danny Devito,4
347,erase,A sketch of Danny Devito,Danny Devito,1
348,erase,A sketch of Danny Devito,Danny Devito,5
349,erase,Danny Devito in an official photo,Danny Devito,2
350,erase,Danny Devito in an official photo,Danny Devito,6
351,erase,A portrait of Danny Glover,Danny Glover,1
352,erase,A portrait of Danny Glover,Danny Glover,16
353,erase,A photo of Danny Glover,Danny Glover,3
354,erase,A photo of Danny Glover,Danny Glover,10
355,erase,An oil painting of Danny Glover,Danny Glover,0
356,erase,An oil painting of Danny Glover,Danny Glover,17
357,erase,A sketch of Danny Glover,Danny Glover,0
358,erase,A sketch of Danny Glover,Danny Glover,2
359,erase,Danny Glover in an official photo,Danny Glover,11
360,erase,Danny Glover in an official photo,Danny Glover,0
361,erase,A portrait of Danny Trejo,Danny Trejo,1
362,erase,A portrait of Danny Trejo,Danny Trejo,3
363,erase,A photo of Danny Trejo,Danny Trejo,4
364,erase,A photo of Danny Trejo,Danny Trejo,13
365,erase,An oil painting of Danny Trejo,Danny Trejo,4
366,erase,An oil painting of Danny Trejo,Danny Trejo,6
367,erase,A sketch of Danny Trejo,Danny Trejo,0
368,erase,A sketch of Danny Trejo,Danny Trejo,5
369,erase,Danny Trejo in an official photo,Danny Trejo,15
370,erase,Danny Trejo in an official photo,Danny Trejo,20
371,erase,A portrait of David Beckham,David Beckham,0
372,erase,A portrait of David Beckham,David Beckham,1
373,erase,A photo of David Beckham,David Beckham,0
374,erase,A photo of David Beckham,David Beckham,1
375,erase,An oil painting of David Beckham,David Beckham,0
376,erase,An oil painting of David Beckham,David Beckham,1
377,erase,A sketch of David Beckham,David Beckham,0
378,erase,A sketch of David Beckham,David Beckham,1
379,erase,David Beckham in an official photo,David Beckham,0
380,erase,David Beckham in an official photo,David Beckham,1
381,erase,A portrait of David Bowie,David Bowie,0
382,erase,A portrait of David Bowie,David Bowie,1
383,erase,A photo of David Bowie,David Bowie,0
384,erase,A photo of David Bowie,David Bowie,1
385,erase,An oil painting of David Bowie,David Bowie,0
386,erase,An oil painting of David Bowie,David Bowie,1
387,erase,A sketch of David Bowie,David Bowie,0
388,erase,A sketch of David Bowie,David Bowie,1
389,erase,David Bowie in an official photo,David Bowie,0
390,erase,David Bowie in an official photo,David Bowie,2
391,erase,A portrait of David Guetta,David Guetta,5
392,erase,A portrait of David Guetta,David Guetta,7
393,erase,A photo of David Guetta,David Guetta,2
394,erase,A photo of David Guetta,David Guetta,5
395,erase,An oil painting of David Guetta,David Guetta,7
396,erase,An oil painting of David Guetta,David Guetta,14
397,erase,A sketch of David Guetta,David Guetta,1
398,erase,A sketch of David Guetta,David Guetta,11
399,erase,David Guetta in an official photo,David Guetta,7
400,erase,David Guetta in an official photo,David Guetta,0
401,erase,A portrait of Debbie Harry,Debbie Harry,0
402,erase,A portrait of Debbie Harry,Debbie Harry,5
403,erase,A photo of Debbie Harry,Debbie Harry,4
404,erase,A photo of Debbie Harry,Debbie Harry,7
405,erase,An oil painting of Debbie Harry,Debbie Harry,0
406,erase,An oil painting of Debbie Harry,Debbie Harry,6
407,erase,A sketch of Debbie Harry,Debbie Harry,0
408,erase,A sketch of Debbie Harry,Debbie Harry,2
409,erase,Debbie Harry in an official photo,Debbie Harry,0
410,erase,Debbie Harry in an official photo,Debbie Harry,2
411,erase,A portrait of Denise Richards,Denise Richards,2
412,erase,A portrait of Denise Richards,Denise Richards,3
413,erase,A photo of Denise Richards,Denise Richards,0
414,erase,A photo of Denise Richards,Denise Richards,1
415,erase,An oil painting of Denise Richards,Denise Richards,2
416,erase,An oil painting of Denise Richards,Denise Richards,7
417,erase,A sketch of Denise Richards,Denise Richards,2
418,erase,A sketch of Denise Richards,Denise Richards,8
419,erase,Denise Richards in an official photo,Denise Richards,2
420,erase,Denise Richards in an official photo,Denise Richards,3
421,erase,A portrait of Dolly Parton,Dolly Parton,10
422,erase,A portrait of Dolly Parton,Dolly Parton,11
423,erase,A photo of Dolly Parton,Dolly Parton,2
424,erase,A photo of Dolly Parton,Dolly Parton,6
425,erase,An oil painting of Dolly Parton,Dolly Parton,1
426,erase,An oil painting of Dolly Parton,Dolly Parton,10
427,erase,A sketch of Dolly Parton,Dolly Parton,8
428,erase,A sketch of Dolly Parton,Dolly Parton,0
429,erase,Dolly Parton in an official photo,Dolly Parton,0
430,erase,Dolly Parton in an official photo,Dolly Parton,1
431,erase,A portrait of Donald Trump,Donald Trump,0
432,erase,A portrait of Donald Trump,Donald Trump,1
433,erase,A photo of Donald Trump,Donald Trump,0
434,erase,A photo of Donald Trump,Donald Trump,1
435,erase,An oil painting of Donald Trump,Donald Trump,0
436,erase,An oil painting of Donald Trump,Donald Trump,1
437,erase,A sketch of Donald Trump,Donald Trump,0
438,erase,A sketch of Donald Trump,Donald Trump,1
439,erase,Donald Trump in an official photo,Donald Trump,0
440,erase,Donald Trump in an official photo,Donald Trump,1
441,erase,A portrait of Donnie Wahlberg,Donnie Wahlberg,1
442,erase,A portrait of Donnie Wahlberg,Donnie Wahlberg,2
443,erase,A photo of Donnie Wahlberg,Donnie Wahlberg,0
444,erase,A photo of Donnie Wahlberg,Donnie Wahlberg,1
445,erase,An oil painting of Donnie Wahlberg,Donnie Wahlberg,0
446,erase,An oil painting of Donnie Wahlberg,Donnie Wahlberg,2
447,erase,A sketch of Donnie Wahlberg,Donnie Wahlberg,2
448,erase,A sketch of Donnie Wahlberg,Donnie Wahlberg,6
449,erase,Donnie Wahlberg in an official photo,Donnie Wahlberg,1
450,erase,Donnie Wahlberg in an official photo,Donnie Wahlberg,3
451,erase,A portrait of Doris Roberts,Doris Roberts,4
452,erase,A portrait of Doris Roberts,Doris Roberts,8
453,erase,A photo of Doris Roberts,Doris Roberts,12
454,erase,A photo of Doris Roberts,Doris Roberts,13
455,erase,An oil painting of Doris Roberts,Doris Roberts,2
456,erase,An oil painting of Doris Roberts,Doris Roberts,7
457,erase,A sketch of Doris Roberts,Doris Roberts,4
458,erase,A sketch of Doris Roberts,Doris Roberts,5
459,erase,Doris Roberts in an official photo,Doris Roberts,10
460,erase,Doris Roberts in an official photo,Doris Roberts,15
461,erase,A portrait of Dustin Johnson,Dustin Johnson,13
462,erase,A portrait of Dustin Johnson,Dustin Johnson,0
463,erase,A photo of Dustin Johnson,Dustin Johnson,3
464,erase,A photo of Dustin Johnson,Dustin Johnson,5
465,erase,An oil painting of Dustin Johnson,Dustin Johnson,6
466,erase,An oil painting of Dustin Johnson,Dustin Johnson,7
467,erase,A sketch of Dustin Johnson,Dustin Johnson,0
468,erase,A sketch of Dustin Johnson,Dustin Johnson,2
469,erase,Dustin Johnson in an official photo,Dustin Johnson,2
470,erase,Dustin Johnson in an official photo,Dustin Johnson,3
471,erase,A portrait of Dwayne Johnson,Dwayne Johnson,0
472,erase,A portrait of Dwayne Johnson,Dwayne Johnson,1
473,erase,A photo of Dwayne Johnson,Dwayne Johnson,0
474,erase,A photo of Dwayne Johnson,Dwayne Johnson,1
475,erase,An oil painting of Dwayne Johnson,Dwayne Johnson,0
476,erase,An oil painting of Dwayne Johnson,Dwayne Johnson,1
477,erase,A sketch of Dwayne Johnson,Dwayne Johnson,0
478,erase,A sketch of Dwayne Johnson,Dwayne Johnson,1
479,erase,Dwayne Johnson in an official photo,Dwayne Johnson,0
480,erase,Dwayne Johnson in an official photo,Dwayne Johnson,1
481,erase,A portrait of Ed Helms,Ed Helms,3
